Enfermedad;Indicador;Year;Pais;Region;Genero;Area;Numeric;Lim_inf;Lim_sup
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2000;Colombia;Región de las Américas;Total;;15.14874;12.9594;17.27967
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2000;Colombia;Región de las Américas;Hombres;;15.88188;13.80716;17.97227
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2000;Colombia;Región de las Américas;Mujeres;;14.52515;12.23426;16.69239
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2001;Colombia;Región de las Américas;Total;;14.52538;12.41751;16.58762
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2001;Colombia;Región de las Américas;Hombres;;15.16821;13.17787;17.18176
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2001;Colombia;Región de las Américas;Mujeres;;13.98286;11.7709;16.08876
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2002;Colombia;Región de las Américas;Total;;14.06456;12.04644;16.08215
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2002;Colombia;Región de las Américas;Hombres;;14.49629;12.59495;16.45274
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2002;Colombia;Región de las Américas;Mujeres;;13.70948;11.58847;15.78154
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2003;Colombia;Región de las Américas;Total;;14.10493;12.1094;16.12638
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2003;Colombia;Región de las Américas;Hombres;;14.80437;12.9144;16.77186
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2003;Colombia;Región de las Américas;Mujeres;;13.51542;11.42605;15.58589
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2004;Colombia;Región de las Américas;Total;;13.82287;11.91287;15.82384
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2004;Colombia;Región de las Américas;Hombres;;14.90577;13.03658;16.90383
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2004;Colombia;Región de las Américas;Mujeres;;12.89858;10.95122;14.90404
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2005;Colombia;Región de las Américas;Total;;13.47201;11.61841;15.46045
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2005;Colombia;Región de las Américas;Hombres;;14.74852;12.89589;16.76712
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2005;Colombia;Región de las Américas;Mujeres;;12.37288;10.51758;14.33605
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2006;Colombia;Región de las Américas;Total;;13.21498;11.39986;15.1915
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2006;Colombia;Región de las Américas;Hombres;;14.44178;12.6356;16.44928
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2006;Colombia;Región de las Américas;Mujeres;;12.16364;10.33963;14.11466
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2007;Colombia;Región de las Américas;Total;;12.57818;10.83885;14.52049
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2007;Colombia;Región de las Américas;Hombres;;13.63715;11.88711;15.61225
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2007;Colombia;Región de las Américas;Mujeres;;11.6743;9.94321;13.58964
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2008;Colombia;Región de las Américas;Total;;12.13813;10.44572;14.05516
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2008;Colombia;Región de las Américas;Hombres;;13.03158;11.33648;14.96368
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2008;Colombia;Región de las Américas;Mujeres;;11.38089;9.68974;13.28666
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2009;Colombia;Región de las Américas;Total;;11.31336;9.72259;13.15064
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2009;Colombia;Región de las Américas;Hombres;;12.07419;10.48043;13.9181
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2009;Colombia;Región de las Américas;Mujeres;;10.67436;9.08477;12.50836
